Input,Target,Vanilla_prediction,Attention_prediction
solicitor,सॉलिसिटर,सोलिशिटर,सॉलिसिटर
soma,सोमा,सौमा,सोमा
soy,सोय,सोए,सोय
saunpane,सौंपने,सौपने,सौंपने
sonpne,सौंपने,सोंपने,सौंपने
ski,स्की,स्कीई,स्की
skootaron,स्कूटरों,स्कूतरों,स्कूटरों
scanning,स्कैनिंग,स्नेकिंग,स्कैनिंग
squash,स्क्वाश,स्क्वास,स्क्वाश
stop,स्टॉप,स्टोप,स्टॉप
stithi,स्तिथि,स्थिति,स्तिथि
sneakers,स्नीकर्स,स्नीक्स,स्नीकर्स
spear,स्पीयर,स्पियर,स्पीयर
slide,स्लाइड,स्लीड,स्लाइड
slider,स्लाइडर,स्लीडर,स्लाइडर
slaaidon,स्लाइडों,स्लैडियों,स्लाइडों
slides,स्लाइड्स,स्लीड्सस,स्लाइड्स
swaachaalit,स्वाचालित,स्वचालित,स्वाचालित
swiftlate,स्विफ्टलेट,स्विफ्टेलेट,स्विफ्टलेट
swiftlet,स्विफ्टलेट,स्विफ्टेटट,स्विफ्टलेट
sweccha,स्वेच्छा,स्वेच्छ,स्वेच्छा
sweta,स्वेता,स्वेटा,स्वेता
haqeeqat,हकीकत,हकीत,हकीकत
hathiya,हथिया,हाथिया,हथिया
hamal,हमाल,हमल,हमाल
haldi,हल्दी,हल्डी,हल्दी
hawalaat,हवालात,हवलात,हवालात
hani,हानी,हनी,हानी
haaranaa,हारना,हारणा,हारना
hingis,हिंगिस,हिंगीस,हिंगिस
hijbul,हिजबुल,हिजबूल,हिजबुल
hooper,हूपर,हापर,हूपर
